Date,Open,High,Low,Close,Adj Close,Volume
2020-11-04,48.595001,50.070000,48.115002,50.070000,47.726963,4251925
2020-11-05,50.500000,50.730000,49.570000,50.540001,48.174969,3108578
2020-11-06,50.360001,50.950001,49.584999,50.330002,47.974796,2751793
2020-11-09,51.549999,56.139999,51.090000,55.730000,53.122101,10048645
2020-11-10,56.099998,58.529999,56.040001,57.520000,54.828339,7790609
2020-11-11,57.500000,57.779999,55.830002,56.430000,53.789345,5178599
2020-11-12,55.669998,56.500000,55.310001,55.610001,53.007717,2682920
2020-11-13,55.119999,56.299999,54.830002,56.000000,53.379467,3037076
2020-11-16,56.680000,58.340000,56.360001,57.279999,54.599567,3607158
2020-11-17,57.220001,58.049999,57.029999,57.959999,55.247746,2211728
2020-11-18,57.750000,58.990002,57.380001,58.709999,55.962650,2925691
2020-11-19,58.099998,58.290001,57.500000,57.779999,55.076168,2385840
2020-11-20,57.520000,58.029999,57.279999,57.650002,54.952255,2819492
2020-11-23,58.009998,59.250000,58.009998,58.380001,55.648094,2778391
2020-11-24,59.080002,61.150002,59.040001,61.150002,58.288471,4133780
2020-11-25,61.279999,61.299999,59.450001,60.209999,57.392456,3679308
2020-11-26,60.139999,60.450001,59.590000,60.070000,57.259010,1722062
2020-11-27,59.889999,61.290001,59.790001,60.919998,58.069233,3448051
2020-11-30,60.540001,62.669998,60.150002,61.330002,58.460049,5433895
2020-12-01,61.700001,61.980000,60.770000,61.110001,58.250343,2781855
2020-12-02,61.040001,61.040001,60.099998,60.970001,58.116894,2689407
2020-12-03,60.869999,60.919998,59.910000,60.660000,57.821400,2673588
2020-12-04,60.599998,61.169998,60.360001,61.040001,58.183620,2058165
2020-12-07,60.900002,60.900002,59.880001,60.750000,57.907188,1837374
2020-12-08,60.860001,61.950001,60.689999,61.619999,58.736477,2850469
2020-12-09,62.389999,64.230003,62.259998,63.439999,60.471310,6583366
2020-12-10,63.480000,65.089996,63.320000,64.040001,61.043232,5290522
2020-12-11,63.970001,63.970001,62.320000,63.110001,60.156754,3423455
2020-12-14,63.880001,64.839996,63.759998,63.900002,60.909786,3180765
2020-12-15,63.770000,65.120003,63.639999,64.760002,61.729542,3542581
2020-12-16,64.970001,65.610001,63.970001,64.199997,61.195744,3232740
2020-12-17,64.779999,65.230003,64.540001,64.900002,61.862991,3177817
2020-12-18,65.019997,65.580002,64.519997,64.519997,61.500767,7045920
2020-12-21,63.200001,63.529999,61.630001,63.529999,60.557098,4515567
2020-12-22,63.840000,64.540001,63.639999,63.849998,60.862122,2923353
2020-12-23,63.970001,64.980003,63.959999,64.690002,61.662819,1802073
2020-12-28,65.199997,65.750000,65.169998,65.220001,62.168015,2008445
2020-12-29,65.739998,65.930000,64.860001,65.070000,62.025032,2112445
2020-12-30,65.400002,65.400002,64.570000,64.720001,61.691414,1144797
2021-01-04,65.480003,66.070000,64.430000,64.889999,61.853455,2741508
2021-01-05,64.300003,65.470001,63.259998,64.400002,61.386387,2770337
2021-01-06,65.239998,67.550003,65.139999,67.370003,64.217407,5187251
2021-01-07,67.930000,68.529999,67.129997,68.410004,65.208740,3655366
2021-01-08,69.000000,69.239998,68.010002,68.580002,65.370781,3035733
2021-01-11,67.510002,68.169998,66.610001,67.550003,64.388985,2918312
2021-01-12,68.500000,68.830002,67.300003,67.900002,64.722603,3245940
2021-01-13,68.099998,68.750000,67.610001,68.029999,64.846519,3096228
2021-01-14,68.120003,68.410004,67.720001,68.099998,64.913239,2127852
2021-01-15,67.639999,68.019997,66.110001,67.290001,64.141151,3887322
2021-01-18,66.500000,67.599998,66.500000,67.480003,64.322258,1416376
2021-01-19,67.959999,68.160004,66.459999,66.589996,63.473900,2469283
2021-01-20,67.300003,68.169998,66.989998,67.360001,64.207870,2915428
2021-01-21,67.750000,68.080002,66.989998,67.330002,64.179276,2344062
2021-01-22,66.699997,66.720001,65.820000,66.279999,63.178410,2743203
2021-01-25,66.669998,67.040001,64.050003,64.529999,61.510300,3433739
2021-01-26,64.650002,65.889999,64.360001,65.239998,62.187077,2553918
2021-01-27,64.900002,65.320000,62.599998,63.880001,60.890720,4620843
2021-01-28,63.189999,64.830002,62.560001,64.529999,61.510300,3052869
2021-01-29,63.259998,64.769997,62.970001,63.830002,60.843060,4117710
2021-02-01,64.559998,65.160004,64.139999,64.809998,61.777199,2261944
2021-02-02,65.400002,65.930000,65.059998,65.430000,62.368187,2387910
2021-02-03,66.029999,66.400002,65.580002,66.160004,63.064030,2151723
2021-02-04,66.160004,66.690002,65.940002,66.660004,63.540630,1923366
2021-02-05,66.550003,67.029999,66.089996,66.809998,63.683605,1925658
2021-02-08,67.129997,67.949997,67.059998,67.360001,64.207870,1831771
